measure_id,oid,measure_name,value,value_label,measure_date,device_name,event_id,event_variable,event_operator,event_reference_value
203858203,0,networkAvailability,1.0,1,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858204,1.3.6.1.4.1.31946.4.2.6.10.60.0,generalStatus.0,4.0,4,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858205,1.3.6.1.4.1.31946.4.2.6.10.5.0,plus5v.0,5.06,5.06,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858206,1.3.6.1.4.1.31946.4.2.6.10.6.0,plus12v.0,11.1,11.1,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858207,1.3.6.1.4.1.31946.4.2.6.10.7.0,minus12.0,12.37,12.37,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858208,1.3.6.1.4.1.31946.4.2.6.10.9.0,psuVoltage.0,37.5,37.5,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858209,1.3.6.1.4.1.31946.4.2.6.10.10.0,psuCurrent.0,52.1,52.1,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858210,1.3.6.1.4.1.31946.4.2.6.10.13.0,standbyStatus.0,1.0,1,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858211,1.3.6.1.4.1.31946.4.2.6.10.14.0,txFrequency.0,98.6,98.6,2024-07-09 00:00:44,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858347,0,networkAvailability,1.0,1,2024-07-09 00:00:50,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858467,0,networkAvailability,1.0,1,2024-07-09 00:00:53,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858529,0,networkAvailability,1.0,1,2024-07-09 00:00:54,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858530,1.3.6.1.4.1.31946.4.2.6.1.0,alarmResetCommand.0,1.0,1,2024-07-09 00:00:54,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858531,1.3.6.1.4.1.31946.4.2.6.4.0,maxTargetPower.0,2200.0,2200,2024-07-09 00:00:54,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858532,1.3.6.1.4.1.31946.4.2.6.10.49.0,maxTemperature.0,51.7,51.7,2024-07-09 00:00:54,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858533,1.3.6.1.4.1.31946.4.2.6.10.4.0,local.0,1.0,1,2024-07-09 00:00:54,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
203858534,1.3.6.1.4.1.31946.4.2.6.10.45.0,environmentalTemp.0,34.2,34.2,2024-07-09 00:00:54,Stella - Capital - Elenos,95181,rfEfficiency,lower,50.0
