measure_id,oid,measure_name,value,value_label,measure_date,device_name,event_id,event_variable,event_operator,event_reference_value
194012743,0,networkAvailability,1.0,1,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012744,1.3.6.1.4.1.31946.4.2.6.10.60.0,generalStatus.0,4.0,4,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012745,1.3.6.1.4.1.31946.4.2.6.10.5.0,plus5v.0,5.19,5.19,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012746,1.3.6.1.4.1.31946.4.2.6.10.6.0,plus12v.0,12.25,12.25,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012747,1.3.6.1.4.1.31946.4.2.6.10.7.0,minus12.0,12.16,12.16,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012748,1.3.6.1.4.1.31946.4.2.6.10.9.0,psuVoltage.0,30.9,30.9,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012749,1.3.6.1.4.1.31946.4.2.6.10.10.0,psuCurrent.0,24.6,24.6,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012750,1.3.6.1.4.1.31946.4.2.6.10.13.0,standbyStatus.0,1.0,1,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194012751,1.3.6.1.4.1.31946.4.2.6.10.14.0,txFrequency.0,104.4,104.4,2024-07-03 00:00:36,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013049,0,networkAvailability,1.0,1,2024-07-03 00:00:45,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013171,0,networkAvailability,1.0,1,2024-07-03 00:00:50,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013212,0,networkAvailability,1.0,1,2024-07-03 00:00:52,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013213,1.3.6.1.4.1.31946.4.2.6.1.0,alarmResetCommand.0,1.0,1,2024-07-03 00:00:52,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013214,1.3.6.1.4.1.31946.4.2.6.4.0,maxTargetPower.0,1100.0,1100,2024-07-03 00:00:52,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013215,1.3.6.1.4.1.31946.4.2.6.10.49.0,maxTemperature.0,39.0,39.0,2024-07-03 00:00:52,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013216,1.3.6.1.4.1.31946.4.2.6.10.4.0,local.0,1.0,1,2024-07-03 00:00:52,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
194013217,1.3.6.1.4.1.31946.4.2.6.10.45.0,environmentalTemp.0,23.7,23.7,2024-07-03 00:00:52,S.Angelo - Capital - Elenos,94286,local,not equal,1.0
